Date,LEVEL_00_6D78F692_SPACE RV2024_RESILIENCE_PEOPLE,LEVEL_01_74433ACA_SPACE RV2024_RESILIENCE_PEOPLE,LEVEL_02.A_4E35AD0B_SPACE RV2024_RESILIENCE_PEOPLE,LEVEL_02.B_4C01AA2C_SPACE RV2024_RESILIENCE_PEOPLE,LEVEL_03_669BEE00_SPACE RV2024_RESILIENCE_PEOPLE
2016-01-20 11:00:00+00:00,21.38371905542348,18.447376644784047,18.453387397971472,18.338223000980317,18.44237060309553
2016-01-20 12:00:00+00:00,21.361441697968456,18.42578741192598,18.434703052185665,18.320110502541024,18.42268152536829
2016-01-20 13:00:00+00:00,21.33994015117837,18.37371436737093,18.384673713930212,18.269865068136003,18.373834384047395
2016-01-20 14:00:00+00:00,21.318999908202883,18.327750551524463,18.33577910794203,18.219897374719476,18.32937285624601
2016-01-20 15:00:00+00:00,21.300576224879077,18.46808893349218,18.4581123145574,18.322665669196994,18.449556045194015
2016-01-20 16:00:00+00:00,21.28554533754664,18.362563117369774,18.371619257090817,18.240222265358046,18.359435064971507
2016-01-20 17:00:00+00:00,21.270655847104585,18.09075223395462,18.112259240293678,17.991567975420143,18.10769261214529
2016-01-20 18:00:00+00:00,21.24945698307005,17.887186233143428,17.9079980084104,17.782715444379196,17.906097637635266
2016-01-20 19:00:00+00:00,21.22485691489947,17.708187978610244,17.727432815667616,17.597657560474193,17.72594531724739
2016-01-20 20:00:00+00:00,21.198119139348876,17.53754393941274,17.555495981820595,17.422109848129274,17.55416124229514
2016-01-20 21:00:00+00:00,21.170439453963365,17.371840352925926,17.388818242958667,17.25242726320783,17.387507079777674
2016-01-20 22:00:00+00:00,21.14148396953378,17.20686617718948,17.223037136127864,17.083919871174466,17.221705929933638
2016-01-20 23:00:00+00:00,21.111733040045536,17.043596434829148,17.05867301882908,16.917247208359317,17.057291556273288
2016-01-21 00:00:00+00:00,21.080759456088852,16.881354241595943,16.8951773680645,16.751875014551786,16.893782571067913
2016-01-21 01:00:00+00:00,21.049477957508476,16.719598670453006,16.732290186066304,16.5872370004605,16.73085345539544
2016-01-21 02:00:00+00:00,21.018347580458357,16.558374193349426,16.569871270063402,16.423317155701525,16.568520264915616
2016-01-21 03:00:00+00:00,20.98721876256278,16.399369026991092,16.409350257222034,16.261603929659607,16.40807314379246
2016-01-21 04:00:00+00:00,20.955206505997904,16.240245985215882,16.248755555897386,16.099636629003232,16.24728787999427
2016-01-21 05:00:00+00:00,20.92329953684199,16.081693354070513,16.088614346693294,15.938569826459265,16.0872943674045
2016-01-21 06:00:00+00:00,20.89197998508679,15.924505099058218,15.929978508796019,15.778505112215456,15.928265968695692
2016-01-21 07:00:00+00:00,20.86164764996418,15.787634699144109,15.790788497074521,15.63861391224942,15.78726493883057
2016-01-21 08:00:00+00:00,20.833558952798157,15.737852898752346,15.734042251217431,15.582751229665377,15.725123399021172
2016-01-21 09:00:00+00:00,20.808033599470566,15.832091274208826,15.817415747181158,15.670838445799403,15.800631648156296
2016-01-21 10:00:00+00:00,20.791334203435298,16.04027317726722,16.006234631280655,15.869364524264888,15.983180718300703
2016-01-21 11:00:00+00:00,20.78672253923372,16.187651749257387,16.142505501554805,16.013197501553822,16.120008251131548
2016-01-21 12:00:00+00:00,20.788285486090633,16.32722216282074,16.276260045523596,16.150316920372912,16.25323768905423
2016-01-21 13:00:00+00:00,20.79253855139401,16.49457039823052,16.444840147980088,16.303556275244407,16.419436303630473
2016-01-21 14:00:00+00:00,20.79916646315609,16.647449720640978,16.601974324137384,16.438183535216478,16.57704438838634
2016-01-21 15:00:00+00:00,20.809142800107853,16.730025369608065,16.690075425402863,16.512854211412712,16.665673134179947
2016-01-21 16:00:00+00:00,20.81959738928617,16.57496320683952,16.560718215433038,16.398158383855833,16.540147139892394
2016-01-21 17:00:00+00:00,20.823219978381488,16.25838870808425,16.2592854277277,16.115462202330978,16.25019807996513
2016-01-21 18:00:00+00:00,20.814409785303905,16.049398150291314,16.047645867085855,15.90142457785551,16.042321799994635
2016-01-21 19:00:00+00:00,20.798379241279648,15.873680463106394,15.868903262324785,15.71991414145534,15.864346037164616
2016-01-21 20:00:00+00:00,20.778553396895223,15.713670229697845,15.706146978054468,15.555409332039252,15.701636964286095
2016-01-21 21:00:00+00:00,20.75617341630643,15.560224708028985,15.550690382137866,15.398234219617988,15.545474850938588
2016-01-21 22:00:00+00:00,20.732466320427836,15.412684734398484,15.400813123225523,15.24829496527652,15.395808545653944
2016-01-21 23:00:00+00:00,20.70868641913727,15.277023603595168,15.262382393633096,15.110534986335916,15.257334901962144
2016-01-22 00:00:00+00:00,20.68476710719392,15.148539560560627,15.131102671635778,14.980572896008226,15.126146702706263
2016-01-22 01:00:00+00:00,20.661132856834723,15.027687262103006,15.007335967303549,14.858439640122816,15.002343921683346
2016-01-22 02:00:00+00:00,20.63789112900314,14.91311806730951,14.889795993188864,14.742558472121695,14.884523540534977
2016-01-22 03:00:00+00:00,20.615149615361876,14.80383404369112,14.777599197741324,14.632155623622905,14.772016527077534
2016-01-22 04:00:00+00:00,20.593027035804756,14.69964316430763,14.670569683129912,14.527148452020763,14.664797043151955
2016-01-22 05:00:00+00:00,20.57167953065296,14.601205539710664,14.569269342865113,14.428053321157796,14.563309896052564
2016-01-22 06:00:00+00:00,20.55033955495015,14.499954478373672,14.466360605098423,14.325430137703977,14.45900483966642
2016-01-22 07:00:00+00:00,20.53046919503267,14.427735759008995,14.392171281644563,14.254486294421675,14.382575313814305
2016-01-22 08:00:00+00:00,20.51747689742749,14.512311712091567,14.464411173826832,14.330527816393682,14.44738194994946
2016-01-22 09:00:00+00:00,20.510723285898482,14.599788286005216,14.547115776443627,14.419750053484464,14.527874752624037
2016-01-22 10:00:00+00:00,20.510258150103912,14.740247552483742,14.679760051713837,14.565620601596612,14.6609008559779
2016-01-22 11:00:00+00:00,20.516614162633605,14.881642794401683,14.81791103041273,14.71693583871088,14.800258706850476
2016-01-22 12:00:00+00:00,20.523392902288247,15.010460191363363,14.943973797068468,14.851275633186319,14.92474209305031
2016-01-22 13:00:00+00:00,20.529733284469092,15.181861883642194,15.10863196151203,15.01472940347739,15.087088660521188
2016-01-22 14:00:00+00:00,20.53578451698931,15.415813338333491,15.332200312360698,15.22093517974286,15.307930743827006
2016-01-22 15:00:00+00:00,20.547912323612923,15.538678199223746,15.462352274691321,15.341909871929436,15.436263452688161
2016-01-22 16:00:00+00:00,20.56278412752844,15.42761130271762,15.3751014142195,15.269584738472098,15.351261973918026
2016-01-22 17:00:00+00:00,20.57176743853134,15.231189077550141,15.187675386873073,15.093219870921978,15.169897332285268
2016-01-22 18:00:00+00:00,20.574831946964295,15.11153054966111,15.064630049995285,14.967810287646302,15.048802630549517
2016-01-22 19:00:00+00:00,20.574227561949623,15.022030012773712,14.972131112830114,14.872373478266402,14.956177186089683
2016-01-22 20:00:00+00:00,20.569840725724916,14.939867659940894,14.888321503246312,14.785275569112393,14.871361645042192
2016-01-22 21:00:00+00:00,20.562993711238363,14.861034388413271,14.807943067755625,14.702876363660499,14.790736667169503
2016-01-22 22:00:00+00:00,20.55587365367954,14.789676691077188,14.735392390470778,14.628638447236668,14.717436401762493
2016-01-22 23:00:00+00:00,20.548123635785206,14.719497504584362,14.66417726226475,14.555796708388906,14.645426575154914
2016-01-23 00:00:00+00:00,20.53984330370316,14.65216320923198,14.59569921055418,14.48655929661129,14.576560095795665
2016-01-23 01:00:00+00:00,20.53119941428236,14.58701249494762,14.529679330962045,14.420032008493193,14.510144883119594
