metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
primary_energy,cooking,as_drawn,kWh,0,primary_energy.cooking,Cooking,448
phius_net_source_energy,cooking,as_drawn,kWh,0,primary_energy.cooking,Cooking,448
primary_energy,phi_lighting,as_drawn,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
phius_net_source_energy,phi_lighting,as_drawn,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
primary_energy,phi_consumer_elec,as_drawn,kWh,1697.95240508,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
phius_net_source_energy,phi_consumer_elec,as_drawn,kWh,1697.95240508,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
primary_energy,phi_small_appliances,as_drawn,kWh,178.583864566,primary_energy.phi_small_appliances,PHI Small Appliances,451
phius_net_source_energy,phi_small_appliances,as_drawn,kWh,178.583864566,primary_energy.phi_small_appliances,PHI Small Appliances,451
primary_energy,phius_int_lighting,as_drawn,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
phius_net_source_energy,phius_int_lighting,as_drawn,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
primary_energy,phius_ext_lighting,as_drawn,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
phius_net_source_energy,phius_ext_lighting,as_drawn,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
primary_energy,phius_mel,as_drawn,kWh,0,primary_energy.phius_mel,Phius MEL,454
phius_net_source_energy,phius_mel,as_drawn,kWh,0,primary_energy.phius_mel,Phius MEL,454
primary_energy,aux_elec,as_drawn,kWh,4883.02385951,primary_energy.aux_elec,Aux Elec,455
phius_net_source_energy,aux_elec,as_drawn,kWh,4883.02385951,primary_energy.aux_elec,Aux Elec,455
primary_energy,solar_pv,as_drawn,kWh,0,primary_energy.solar_pv,Solar PV,456
phius_net_source_energy,solar_pv,as_drawn,kWh,0,primary_energy.solar_pv,Solar PV,456
per,heating,as_drawn,kWh,35834.7277556,primary_energy_renewable.heating,Heating,520
per,cooling,as_drawn,kWh,3668.84171864,primary_energy_renewable.cooling,Cooling,521
per,dhw,as_drawn,kWh,4317.07986094,primary_energy_renewable.dhw,DHW,522
per,dishwashing,as_drawn,kWh,285.338146927,primary_energy_renewable.dishwashing,Dishwashing,523
per,clothes_washing,as_drawn,kWh,83.7127671616,primary_energy_renewable.clothes_washing,Clothes Washing,524
per,clothes_drying,as_drawn,kWh,402.48031904,primary_energy_renewable.clothes_drying,Clothes Drying,525
